id,name,latitude,longitude,dpcapacity,dateCreated,online date_x,online date_y
46,Wells St & Walton St,41.89993001,-87.63443007,19,2013-06-25 11:03:00,2013-06-14,2013-06-14
47,State St & Kinzie St,41.88918,-87.6277,15,2013-06-25 11:04:00,2013-06-18,2013-06-18
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,2013-06-25 11:20:00,2013-06-16,2013-06-16
49,Dearborn St & Monroe St,41.88131982,-87.62952092,23,2013-06-25 11:21:00,2013-06-16,2013-06-16
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,2013-06-25 11:23:00,2013-06-16,2013-06-16
51,Clark St & Randolph St,41.88457623,-87.63188991,31,2013-06-25 11:24:00,2013-06-17,2013-06-17
52,Michigan Ave & Lake St,41.886024,-87.624117,23,2013-06-25 11:25:00,2013-06-17,2013-06-17
53,Wells St & Erie St,41.893832,-87.634195,19,2013-06-25 11:27:00,2013-06-17,2013-06-17
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19,2013-06-25 11:28:00,2013-06-17,2013-06-17
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,2013-06-25 11:33:00,2013-06-17,2013-06-17
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,19,2013-06-25 11:50:00,2013-06-17,2013-06-17
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15,2013-06-25 11:54:00,2013-06-17,2013-06-17
58,Marshfield Ave & Cortland St,41.916017,-87.668879,15,2013-06-25 11:57:00,2013-06-18,2013-06-18
59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,19,2013-06-25 12:06:00,2013-06-18,2013-06-18
60,Dayton St & North Ave,41.91057803,-87.64942193,19,2013-06-25 12:08:00,2013-06-18,2013-06-18
61,Wood St & Milwaukee Ave,41.907655,-87.672552,15,2013-06-25 12:09:00,2013-06-18,2013-06-18
62,McCormick Place,41.85137517,-87.61883465,15,2013-06-25 12:13:00,2013-06-18,2013-06-18
66,Clinton St & Lake St,41.88583274,-87.64138231,19,2013-06-25 12:21:00,2013-06-20,2013-06-20
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,2013-06-25 12:23:00,2013-06-20,2013-06-20
68,Clinton St & Tilden St,41.875885,-87.640795,23,2013-06-25 12:52:00,2013-06-24,2013-06-24
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,2013-06-25 12:53:00,2013-06-24,2013-06-24
71,Morgan St & Lake St,41.88548331,-87.65230486,15,2013-06-25 12:55:00,2013-06-24,2013-06-24
72,State St & 16th St,41.86012138,-87.62772919,15,2013-06-25 12:56:00,2013-06-24,2013-06-24
73,Jefferson St & Monroe St,41.880422,-87.642746,19,2013-06-25 13:08:00,2013-06-27,2013-06-27
74,Kingsbury St & Erie St,41.89384315,-87.64185116,23,2013-06-26 12:19:00,2013-06-14,2013-06-14
75,Canal St & Jackson Blvd,41.878149,-87.640001,35,2013-06-26 15:21:00,2013-06-15,2013-06-15
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,11,2013-06-26 15:26:00,2013-06-24,2013-06-24
77,Clinton St & Madison St,41.8815824,-87.64127743,23,2013-06-26 15:27:00,2013-06-15,2013-06-15
80,Aberdeen St & Madison St,41.881487,-87.654752,19,2013-06-26 19:00:00,2013-06-26,2013-06-26
81,Daley Center Plaza,41.884451,-87.629892,47,2013-06-26 19:02:00,2013-06-13,2013-06-13
84,Union Ave & Grand Ave,41.891,-87.645925,19,2013-06-26 19:14:00,2013-06-26,2013-06-26
85,Michigan Ave & Oak St,41.90096039,-87.62377664,15,2013-06-26 19:18:00,2013-06-21,2013-06-21
86,Eckhart Park,41.89637337,-87.66098386,15,2013-06-26 19:32:00,2013-06-26,2013-06-26
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,2013-06-26 19:36:00,2013-06-26,2013-06-26
88,May St & Randolph St,41.88397,-87.655688,15,2013-06-26 19:44:00,2013-06-27,2013-06-27
90,Millennium Park,41.8810317,-87.62408432,35,2013-06-26 19:51:00,2013-06-16,2013-06-16
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,2013-06-26 23:39:00,2013-06-27,2013-06-27
92,Carpenter St & Huron St,41.894556,-87.653449,19,2013-06-27 08:58:00,2013-06-26,2013-06-26
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,2013-06-27 11:41:00,2013-06-27,2013-06-27
94,Clark St & Armitage Ave,41.918306,-87.636282,19,2013-06-27 12:33:00,2013-06-22,2013-06-22
97,Museum Campus,41.865212,-87.617759,19,2013-06-30 13:25:00,2013-06-26,2013-06-26
98,LaSalle St & Washington St,41.882664,-87.63253,15,2013-07-15 14:41:00,2013-07-15,2013-07-15
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,2013-07-15 15:12:00,2013-07-15,2013-07-15
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,2013-07-15 17:26:00,2013-07-16,2013-07-16
106,State St & Pearson St,41.897448,-87.628722,27,2013-07-18 15:59:00,2013-08-01,2013-08-01
108,Halsted St & Polk St,41.87184,-87.64664,19,2013-07-18 16:41:00,2013-08-06,2013-08-06
109,900 W Harrison,41.874675,-87.650019,19,2013-07-18 16:45:00,2013-08-06,2013-08-06
110,State St & Erie St,41.893975,-87.628623,23,2013-07-18 16:46:00,2013-08-01,2013-08-01
111,Sedgwick St & Huron St,41.894666,-87.638437,19,2013-07-18 16:52:00,2013-08-01,2013-08-01
112,Green St & Randolph St,41.884078,-87.648684,15,2013-07-18 17:00:00,2013-07-29,2013-07-29
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,2013-07-18 17:09:00,2013-09-05,2013-09-05
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,2013-07-18 17:17:00,2013-08-02,2013-08-02
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,2013-07-18 17:18:00,2013-07-22,2013-07-22
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,2013-07-18 17:19:00,2013-07-26,2013-07-26
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,2013-07-18 17:20:00,2013-08-02,2013-08-02
118,Sedgwick St & North Ave,41.910579,-87.638618,19,2013-07-18 17:20:00,2013-08-01,2013-08-01
119,Ashland Ave & Lake St,41.88541,-87.66732,19,2013-07-18 17:21:00,2013-07-28,2013-07-28
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,2013-07-18 17:21:00,2013-08-06,2013-08-06
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15,2013-07-18 17:22:00,2013-08-28,2013-08-28
122,Ogden Ave & Congress Pkwy,41.87501,-87.67328,15,2013-07-18 17:23:00,2013-07-28,2013-07-28
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,2013-07-18 17:23:00,2013-07-26,2013-07-26
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,2013-07-18 17:24:00,2013-08-03,2013-08-03
126,Clark St & North Ave,41.911974,-87.631942,15,2013-07-18 17:54:00,2013-07-29,2013-07-29
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,2013-07-18 17:55:00,2013-10-29,2013-10-29
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,2013-07-18 17:55:00,2013-08-03,2013-08-03
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,2013-07-18 17:56:00,2013-07-25,2013-07-25
130,Damen Ave & Division St,41.90331,-87.67695,15,2013-07-18 17:57:00,2013-07-26,2013-07-26
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,2013-07-18 17:57:00,2013-09-23,2013-09-23
132,Wentworth Ave & 24th St,41.849237,-87.631715,15,2013-07-18 17:58:00,2013-09-05,2013-09-05
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,2013-07-18 22:48:00,2013-07-25,2013-07-25
135,Halsted St & 21st St,41.85378,-87.64665,11,2013-07-18 22:49:00,2013-07-24,2013-07-24
136,Racine Ave & 13th St,41.865054,-87.656959,15,2013-07-18 22:52:00,2013-07-31,2013-07-31
137,Morgan Ave & 14th Pl,41.862378,-87.651062,15,2013-07-18 22:54:00,2013-07-31,2013-07-31
138,Clybourn Ave & Division St,41.904509,-87.6405,15,2013-07-18 22:55:00,2013-08-05,2013-08-05
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,2013-07-18 22:56:00,2013-08-01,2013-08-01
141,Clark St & Lincoln Ave,41.915689,-87.6346,19,2013-07-18 22:57:00,2013-08-16,2013-08-16
143,Sedgwick St & Webster Ave,41.922167,-87.638888,15,2013-07-19 09:19:00,2013-08-03,2013-08-03
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,2013-07-19 09:20:00,2013-08-02,2013-08-02
146,Loomis St & Jackson Blvd,41.877945,-87.662007,11,2013-07-19 09:21:00,2013-07-28,2013-07-28
147,Indiana Ave & 26th St,41.8457,-87.62248,15,2013-07-19 09:22:00,2013-07-23,2013-07-23
148,State St & 33rd St,41.834734,-87.625813,11,2013-07-19 09:22:00,2013-08-27,2013-08-27
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,2013-07-19 09:23:00,2013-08-03,2013-08-03
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,11,2013-07-19 09:23:00,2013-07-23,2013-07-23
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15,2013-07-19 09:25:00,2013-07-29,2013-07-29
153,Southport Ave & Wellington Ave,41.935733,-87.663576,19,2013-07-19 09:34:00,2013-07-25,2013-07-25
154,Southport Ave & Belmont Ave,41.93949,-87.66378,15,2013-07-19 09:34:00,2013-07-29,2013-07-29
156,Clark St & Wellington Ave,41.93649682,-87.64753866,15,2013-07-19 09:35:00,2013-08-02,2013-08-02
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,2013-07-19 09:36:00,2013-08-01,2013-08-01
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15,2013-07-19 09:40:00,2013-07-26,2013-07-26
159,Claremont Ave & Hirsch St,41.907781,-87.685854,11,2013-07-19 09:56:00,2013-07-26,2013-07-26
160,Campbell Ave & North Ave,41.910535,-87.689556,15,2013-07-19 09:57:00,2013-07-26,2013-07-26
162,Damen Ave & Wellington Ave,41.93588,-87.67842,15,2013-07-19 10:02:00,2013-07-25,2013-07-25
163,Damen Ave & Clybourn Ave,41.931931,-87.677856,15,2013-07-19 10:02:00,2013-07-29,2013-07-29
164,Franklin St & Lake St,41.885837,-87.6355,23,2013-07-19 10:03:00,2013-08-03,2013-08-03
165,Clark St & Grace St,41.95078,-87.659172,19,2013-07-19 10:03:00,2013-08-03,2013-08-03
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,2013-07-19 10:07:00,2013-07-25,2013-07-25
167,Damen Ave & Coulter St,41.8492,-87.67564,11,2013-07-19 10:08:00,2013-07-25,2013-07-25
168,Michigan Ave & 14th St,41.864059,-87.623727,19,2013-07-19 10:08:00,2013-08-03,2013-08-03
169,Canal St & Harrison St,41.874337,-87.639566,15,2013-07-19 10:09:00,2013-07-23,2013-07-23
170,Clinton St & 18th St,41.85795,-87.640826,15,2013-07-19 11:04:00,2013-07-25,2013-07-25
171,May St & Cullerton St,41.855136,-87.654127,11,2013-07-19 11:05:00,2013-07-25,2013-07-25
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,15,2013-07-19 11:07:00,2013-08-01,2013-08-01
174,Canal St & Madison St,41.882091,-87.639833,23,2013-07-19 11:07:00,2013-07-28,2013-07-28
175,Wells St & Polk St,41.872373,-87.633523,19,2013-07-19 11:08:00,2013-08-03,2013-08-03
176,Clark St & Elm St,41.903233,-87.631253,19,2013-07-19 11:08:00,2013-08-01,2013-08-01
177,Theater on the Lake,41.926277,-87.630834,15,2013-07-19 11:09:00,2013-08-13,2013-08-13
178,State St & 19th St,41.856594,-87.627542,15,2013-07-19 11:10:00,2013-07-23,2013-07-23
179,MLK Jr Dr & Oakwood Blvd,41.82256,-87.61615,15,2013-07-19 11:12:00,2013-07-24,2013-07-24
181,LaSalle St & Illinois St,41.890749,-87.63206,19,2013-07-19 11:15:00,2013-07-21,2013-07-21
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,2013-07-20 17:09:00,2013-07-26,2013-07-26
184,State St & 35th St,41.83104,-87.62688,19,2013-07-21 07:52:00,2013-08-03,2013-08-03
185,Stave St & Armitage Ave,41.917741,-87.691392,11,2013-07-26 10:32:00,2013-07-26,2013-07-26
186,Ogden Ave & Race Ave,41.891795,-87.658751,15,2013-07-27 13:03:00,2013-07-28,2013-07-28
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,2013-07-28 14:35:00,2013-07-29,2013-07-29
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,15,2013-08-05 09:36:00,2013-08-06,2013-08-06
191,Canal St & Monroe St,41.8807,-87.63947,23,2013-08-06 13:14:00,2013-08-07,2013-08-07
192,Canal St & Adams St,41.879255,-87.639904,27,2013-08-06 13:27:00,2013-08-07,2013-08-07
193,State St & 29th St,41.841707,-87.626938,15,2013-08-06 14:08:00,2013-08-23,2013-08-23
194,Wabash Ave & Wacker Pl,41.886875,-87.62603,11,2013-08-07 14:01:00,2013-08-10,2013-08-10
195,Columbus Dr & Randolph St,41.884728,-87.619521,23,2013-08-07 14:11:00,2013-08-10,2013-08-10
196,Cityfront Plaza Dr & Pioneer Ct,41.890252,-87.622105,19,2013-08-07 16:23:00,2013-08-10,2013-08-10
197,Michigan Ave & Madison St,41.882134,-87.625125,19,2013-08-08 11:27:00,2013-08-10,2013-08-10
198,Halsted St & Madison St,41.88175,-87.6478,19,2013-08-08 11:47:00,2013-08-10,2013-08-10
199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,2013-08-08 12:26:00,2013-08-10,2013-08-10
200,MLK Jr Dr & 47th St,41.809851,-87.616279,11,2013-08-10 15:31:00,2013-08-14,2013-08-14
201,Indiana Ave & 40th St,41.82168,-87.6216,15,2013-08-10 15:47:00,2013-08-14,2013-08-14
202,Halsted St & 18th St,41.857499,-87.646277,15,2013-08-12 17:23:00,2013-08-15,2013-08-15
203,Western Ave & 21st St,41.85394,-87.685243,15,2013-08-13 11:55:00,2013-08-15,2013-08-15
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,15,2013-08-13 15:14:00,2013-08-14,2013-08-14
205,Paulina St & 18th St,41.857901,-87.668745,15,2013-08-13 16:01:00,2013-08-15,2013-08-15
206,Halsted St & Archer Ave,41.847203,-87.646795,15,2013-08-14 08:53:00,2013-08-14,2013-08-14
207,Emerald Ave & 28th St,41.84358,-87.645368,15,2013-08-14 10:26:00,2013-08-15,2013-08-15
208,Ashland Ave & 21st St,41.85381,-87.665897,15,2013-08-14 13:01:00,2013-08-15,2013-08-15
209,Normal Ave & Archer Ave,41.849527,-87.640591,11,2013-08-14 13:18:00,2013-08-15,2013-08-15
210,Ashland Ave & Division St,41.90345,-87.667747,19,2013-08-14 16:30:00,2013-08-16,2013-08-16
211,St Clair St & Erie St,41.894448,-87.622663,19,2013-08-14 16:32:00,2013-08-15,2013-08-15
212,Wells St & Hubbard St,41.889933,-87.634262,19,2013-08-14 17:16:00,2013-08-16,2013-08-16
213,Leavitt St & North Ave,41.910153,-87.68229,11,2013-08-15 11:42:00,2013-08-16,2013-08-16
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,2013-08-15 11:46:00,2013-08-16,2013-08-16
215,Damen Ave & Madison St,41.88137,-87.67493,15,2013-08-15 14:08:00,2013-08-15,2013-08-15
216,California Ave & Division St,41.903029,-87.697474,15,2013-08-15 14:13:00,2013-08-16,2013-08-16
217,May St & Fulton St,41.886773,-87.656001,15,2013-08-15 15:14:00,2013-08-16,2013-08-16
218,Wells St & 19th St,41.856802,-87.633879,11,2013-08-15 16:21:00,2013-08-23,2013-08-23
219,Damen Ave & Cortland St,41.916027,-87.677411,11,2013-08-16 11:54:00,2013-08-20,2013-08-20
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,2013-08-16 11:58:00,2013-08-19,2013-08-19
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,19,2013-08-16 15:04:00,2013-08-22,2013-08-22
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,2013-08-16 16:07:00,2013-08-22,2013-08-22
224,Halsted St & Willow St,41.913778,-87.64884,19,2013-08-16 17:25:00,2013-08-22,2013-08-22
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,2013-08-19 09:23:00,2013-08-19,2013-08-19
226,Racine Ave & Belmont Ave,41.939743,-87.658865,15,2013-08-19 09:29:00,2013-08-19,2013-08-19
227,Southport Ave & Waveland Ave,41.94815,-87.66394,15,2013-08-19 13:15:00,2013-08-20,2013-08-20
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,2013-08-19 15:50:00,2013-08-20,2013-08-20
229,Southport Ave & Roscoe St,41.943739,-87.66402,19,2013-08-19 16:10:00,2013-08-29,2013-08-29
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,2013-08-19 17:20:00,2013-08-20,2013-08-20
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,2013-08-20 10:12:00,2013-08-20,2013-08-20
232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,15,2013-08-20 11:09:00,2013-08-21,2013-08-21
233,Sangamon St & Washington Blvd,41.883004,-87.651148,15,2013-08-20 11:46:00,2013-08-29,2013-08-29
234,Clark St & Montrose Ave,41.961588,-87.666036,19,2013-08-20 14:21:00,2013-08-21,2013-08-21
236,Sedgwick St & Schiller St,41.907576,-87.638517,15,2013-08-20 16:12:00,2013-08-21,2013-08-21
237,MLK Jr Dr & 29th St,41.842052,-87.617,15,2013-08-20 16:56:00,2013-08-21,2013-08-21
238,Ravenswood Ave & Montrose Ave,41.961615,-87.674365,15,2013-08-21 09:51:00,2013-08-22,2013-08-22
239,Western Ave & Leland Ave,41.966555,-87.688487,15,2013-08-21 10:50:00,2013-08-21,2013-08-21
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,11,2013-08-21 11:07:00,2013-08-21,2013-08-21
241,Morgan St & Polk St,41.871737,-87.65103,15,2013-08-21 11:57:00,2013-08-22,2013-08-22
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,2013-08-21 16:08:00,2013-08-22,2013-08-22
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,2013-08-21 16:45:00,2013-08-22,2013-08-22
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,2013-08-22 09:49:00,2013-08-22,2013-08-22
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,2013-08-22 11:01:00,2013-08-26,2013-08-26
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,2013-08-22 12:47:00,2013-08-26,2013-08-26
247,Shore Drive & 55th St,41.795212,-87.580715,15,2013-08-22 12:50:00,2013-08-23,2013-08-23
248,Woodlawn Ave & 55th St,41.795264,-87.596471,15,2013-08-22 14:31:00,2013-08-23,2013-08-23
249,Montrose Harbor,41.963982,-87.638181,15,2013-08-22 17:09:00,2013-08-26,2013-08-26
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,2013-08-23 09:09:00,2013-08-26,2013-08-26
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,2013-08-26 11:52:00,2013-08-26,2013-08-26
252,Greenwood Ave & 47th St,41.809835,-87.599383,15,2013-08-26 14:33:00,2013-08-27,2013-08-27
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,2013-08-31 08:58:00,2013-09-05,2013-09-05
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15,2013-08-31 09:03:00,2013-09-09,2013-09-09
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,19,2013-08-31 10:38:00,2013-09-05,2013-09-05
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,2013-08-31 11:54:00,2013-09-05,2013-09-05
257,Lincoln Ave & Waveland Ave,41.94911,-87.675112,15,2013-08-31 12:17:00,2013-09-09,2013-09-09
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,2013-08-31 14:15:00,2013-09-09,2013-09-09
259,California Ave & Francis Pl,41.91855,-87.69723,15,2013-09-03 09:39:00,2013-09-12,2013-09-12
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,2013-09-03 12:41:00,2013-09-17,2013-09-17
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,2013-09-03 13:15:00,2013-09-05,2013-09-05
262,Halsted St & 37th St,41.827071,-87.645801,11,2013-09-03 13:18:00,2013-10-01,2013-10-01
263,Rhodes Ave & 32nd St,41.836208,-87.613533,11,2013-09-03 13:47:00,2013-09-17,2013-09-17
264,Stetson Ave & South Water St,41.886835,-87.62232,19,2013-09-03 15:12:00,2013-09-18,2013-09-18
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,2013-09-03 17:01:00,2013-09-17,2013-09-17
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,2013-09-04 15:57:00,2013-09-17,2013-09-17
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,15,2013-09-05 09:48:00,2013-09-12,2013-09-12
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,2013-09-09 16:33:00,2013-09-12,2013-09-12
272,Indiana Ave & 31st St,41.838842,-87.621857,11,2013-09-09 16:51:00,2013-09-12,2013-09-12
273,Michigan Ave & 18th St,41.857937,-87.623633,15,2013-09-10 09:13:00,2013-09-12,2013-09-12
274,Racine Ave & 15th St,41.861267,-87.656625,15,2013-09-10 10:45:00,2013-09-12,2013-09-12
275,Ashland Ave & 13th St,41.865234,-87.666507,15,2013-09-10 12:20:00,2013-09-12,2013-09-12
276,California Ave & North Ave,41.91044,-87.6972,11,2013-09-10 14:24:00,2013-09-12,2013-09-12
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,2013-09-10 14:57:00,2013-09-12,2013-09-12
278,Wallace Ave & 35th St,41.830629,-87.64129,15,2013-09-10 15:57:00,2013-09-13,2013-09-13
279,Halsted St & 35th St,41.830661,-87.647172,15,2013-09-11 09:17:00,2013-09-13,2013-09-13
280,Morgan St & 31st St,41.8378,-87.65114,11,2013-09-11 11:50:00,2013-09-13,2013-09-13
281,Western Ave & 24th St,41.84847,-87.685109,15,2013-09-11 12:09:00,2013-09-13,2013-09-13
282,Halsted St & Maxwell St,41.86458,-87.64693,15,2013-09-11 14:02:00,2013-09-13,2013-09-13
283,LaSalle St & Jackson Blvd,41.87817,-87.631985,23,2013-09-11 15:53:00,2013-09-14,2013-09-14
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,2013-09-12 09:21:00,2013-09-14,2013-09-14
285,Wood St & Grand Ave,41.89113,-87.67203,15,2013-09-12 10:22:00,2013-09-13,2013-09-13
286,Franklin St & Quincy St,41.878724,-87.634793,15,2013-09-12 12:08:00,2013-09-14,2013-09-14
287,Franklin St & Arcade Pl,41.881469,-87.635177,23,2013-09-12 14:19:00,2013-09-13,2013-09-13
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,2013-09-12 15:23:00,2013-09-13,2013-09-13
289,Wells St & Concord Ln,41.912202,-87.634664,19,2013-09-13 09:46:00,2013-09-14,2013-09-14
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,2013-09-13 10:50:00,2013-10-09,2013-10-09
291,Wells St & Evergreen Ave,41.906724,-87.63483,19,2013-09-13 12:11:00,2013-09-14,2013-09-14
292,Southport Ave & Clark St,41.957081,-87.664199,11,2013-09-13 14:55:00,2013-09-14,2013-09-14
293,Broadway & Wilson Ave,41.965485,-87.657238,19,2013-09-17 14:59:00,2013-09-18,2013-09-18
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,2013-09-17 15:42:00,2013-09-18,2013-09-18
295,Broadway & Argyle St,41.972972,-87.659637,15,2013-09-17 17:38:00,2013-09-18,2013-09-18
296,Broadway & Belmont Ave,41.940106,-87.645451,15,2013-09-17 17:48:00,2013-09-18,2013-09-18
297,Paulina St & Montrose Ave,41.961507,-87.671387,15,2013-09-18 11:00:00,2013-09-18,2013-09-18
298,Lincoln Ave & Belle Plaine Ave,41.955927,-87.679259,15,2013-09-18 11:51:00,2013-10-01,2013-10-01
299,Halsted St & Roscoe St,41.94367,-87.64895,15,2013-09-18 14:50:00,2013-09-19,2013-09-19
300,Broadway & Barry Ave,41.937725,-87.644095,15,2013-09-18 15:13:00,2013-09-19,2013-09-19
