start_name,stop_name,count,start_lng,start_lat,stop_lng,stop_lat,distance
May St & Taylor St,Morgan St & Polk St,119,-87.623041,41.867888,-87.654144168,41.855135322,4050.4
Loomis St & Lexington St,Morgan St & Polk St,832,-87.623041,41.867888,-87.654144168,41.855135322,4050.4
Clinton St & Jackson Blvd,Clinton St & Madison St,133,-87.623041,41.867888,-87.65420033333334,41.85519416666666,4045.9
900 W Harrison St,Halsted St & Roosevelt Rd,141,-87.627887964,41.877249837,-87.659141,41.868968,3919.0
Racine Ave & Congress Pkwy,Halsted St & Polk St,116,-87.64706666666666,41.86489366666667,-87.628388286,41.884695053,3770.5
Wells St & Concord Ln,Clark St & Elm St,144,-87.640552,41.904613,-87.639490247,41.876943469,3766.4
State St & 33rd St,Rhodes Ave & 32nd St,292,-87.627898335,41.877121925,-87.607267,41.866095,3687.1
Rhodes Ave & 32nd St,State St & 33rd St,331,-87.607267,41.866095,-87.627898335,41.877121925,3659.1
Wells St & Concord Ln,Lincoln Ave & Fullerton Ave,117,-87.640552,41.904613,-87.667968,41.91461,3565.9
State St & Chicago Ave,Larrabee St & Kingsbury St,125,-87.629634,41.884241,-87.658871293,41.891812325,3528.6
Jefferson St & Monroe St,Halsted St & Polk St,111,-87.65703,41.87464,-87.628388286,41.884695053,3519.1
Ashland Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,118,-87.635877371,41.924079776,-87.64862,41.94910266666667,3345.9
Sheffield Ave & Fullerton Ave,Racine Ave & Fullerton Ave,174,-87.64862,41.94910266666667,-87.64883,41.919936,3345.2
Racine Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,127,-87.64883,41.919936,-87.64862,41.94910266666667,3344.8
Halsted St & Roosevelt Rd,Clinton St & Jackson Blvd,109,-87.659141,41.868968,-87.623041,41.867888,3256.4
Halsted St & Roosevelt Rd,Loomis St & Lexington St,228,-87.659141,41.868968,-87.623041,41.867888,3256.4
Loomis St & Lexington St,Halsted St & Roosevelt Rd,251,-87.623041,41.867888,-87.659141,41.868968,3234.1
Larrabee St & Kingsbury St,Clinton St & Washington Blvd,134,-87.658871293,41.891812325,-87.639366,41.877245,3147.3
Clark St & Elm St,LaSalle St & Illinois St,114,-87.639490247,41.876943469,-87.63566762208939,41.896746973093805,2858.4
900 W Harrison St,Peoria St & Jackson Blvd,127,-87.627887964,41.877249837,-87.627542,41.856594,2797.9
Clark St & Elm St,St. Clair St & Erie St,127,-87.639490247,41.876943469,-87.623041,41.867888,2751.6
Calumet Ave & 33rd St,State St & 35th St,111,-87.6244675,41.857966,-87.656495,41.858166,2750.1
Wells St & Concord Ln,Wells St & Evergreen Ave,116,-87.640552,41.904613,-87.63582453131676,41.92393131136619,2630.7
