"id","name","city","latitude","longitude","dpcapacity","online_date"
"310","Damen Ave & Charleston St","Chicago","41.920082","-87.677855","11","9/19/2013 17:59:20"
"128","Damen Ave & Chicago Ave","Chicago","41.895769","-87.67722","15","7/18/2013 17:55:53"
"163","Damen Ave & Clybourn Ave","Chicago","41.931931","-87.677856","15","7/19/2013 10:02:35"
"219","Damen Ave & Cortland St","Chicago","41.916027","-87.677411","19","8/16/2013 11:54:27"
"167","Damen Ave & Coulter St","Chicago ","41.8492","-87.67564","11","7/19/2013 10:08:02"
"124","Damen Ave & Cullerton St","Chicago","41.855048","-87.675726","15","7/18/2013 17:24:21"
"130","Damen Ave & Division St","Chicago ","41.90331","-87.67695","15","7/18/2013 17:57:12"
"464","Damen Ave & Foster Ave","Chicago","41.97561480459","-87.6794590387","15","2/10/2015 14:06:30"
"214","Damen Ave & Grand Ave","Chicago","41.89122","-87.67686","23","8/15/2013 11:46:58"
"242","Damen Ave & Leland Ave","Chicago ","41.967094","-87.679028","15","8/21/2013 16:08:29"
"215","Damen Ave & Madison St","Chicago","41.88137","-87.67493","15","8/15/2013 14:08:55"
"228","Damen Ave & Melrose Ave","Chicago","41.9406","-87.6785","11","8/19/2013 15:50:47"
"546","Damen Ave & Pershing Rd","Chicago","41.823192","-87.676597","11","5/27/2016 09:13:00"
"69","Damen Ave & Pierce Ave","Chicago","41.9093960065","-87.6776919292","19","6/25/2013 12:53:32"
"316","Damen Ave & Sunnyside Ave","Chicago","41.96325","-87.679258","19","9/20/2013 14:22:52"
"162","Damen Ave & Wellington Ave","Chicago","41.93588","-87.67842","15","7/19/2013 10:02:00"
"60","Dayton St & North Ave","Chicago","41.9105780349","-87.6494219288","19","6/25/2013 12:08:04"
"140","Dearborn Pkwy & Delaware Pl","Chicago ","41.898969","-87.629912","19","7/18/2013 22:56:47"
"37","Dearborn St & Adams St","Chicago","41.8793563587","-87.6297910363","19","6/25/2013 01:12:23"
"110","Dearborn St & Erie St","Chicago","41.893992","-87.629318","23","7/18/2013 16:46:48"
"49","Dearborn St & Monroe St","Chicago","41.881319815","-87.6295209193","27","6/25/2013 11:21:41"
"107","Desplaines St & Jackson Blvd","Chicago","41.878287","-87.643909","23","7/18/2013 16:39:18"
"56","Desplaines St & Kinzie St","Chicago","41.888716036","-87.6444478533","27","6/25/2013 11:50:53"
"96","Desplaines St & Randolph St","Chicago","41.88461618962","-87.6445705849","23","6/28/2013 10:47:08"
"416","Dorchester Ave & 49th St","Chicago","41.805772","-87.592464","15","1/30/2015 17:42:09"
"428","Dorchester Ave & 63rd St","Chicago","41.7804056457","-87.5914159893","15","1/30/2015 17:45:54"
"489","Drake Ave & Addison St","Chicago","41.947326","-87.717582","15","2/10/2015 14:41:07"
"503","Drake Ave & Fullerton Ave","Chicago","41.924398819","-87.7154410355","15","2/10/2015 14:49:10"
"479","Drake Ave & Montrose Ave","Chicago","41.96115407569","-87.7165690733","11","2/10/2015 14:38:54"
"6","Dusable Harbor","Chicago","41.88504199232","-87.6127945394","39","6/10/2013 11:18:52"
"422","DuSable Museum","Chicago","41.79156801058","-87.6078521774","15","1/30/2015 17:43:59"
"523","Eastlake Ter & Rogers Ave","Chicago","42.021019","-87.665086","15","5/24/2016 15:44:23"
"431","Eberhart Ave & 61st St","Chicago","41.78414169317","-87.6133078304","11","1/30/2015 17:46:36"
"86","Eckhart Park","Chicago","41.89637337","-87.66098386","19","6/26/2013 19:32:25"
"553","Elizabeth St & 47th St","Chicago","41.80839","-87.656526","11","5/27/2016 10:03:12"
"418","Ellis Ave & 53rd St","Chicago","41.79933626261","-87.6009581145","11","1/30/2015 17:42:34"
"420","Ellis Ave & 55th St","Chicago","41.79430062054","-87.6014497734","19","1/30/2015 17:43:06"
"328","Ellis Ave & 58th St","Chicago","41.788746","-87.601334","19","9/25/2013 09:38:39"
"426","Ellis Ave & 60th St","Chicago","41.78509714636","-87.6010727606","19","1/30/2015 17:45:11"
"584","Ellis Ave & 83rd St","Chicago","41.744123","-87.599034","15","5/27/2016 11:35:20"
"315","Elston Ave & Wabansia Ave","Chicago","41.912919","-87.664169","23","9/20/2013 12:38:56"
"207","Emerald Ave & 28th St","Chicago","41.84358","-87.645368","15","8/14/2013 10:26:13"
"339","Emerald Ave & 31st St","Chicago","41.838198","-87.645143","11","9/27/2013 12:26:08"
"570","Evans Ave & 75th St","Chicago","41.758308","-87.606685","11","5/27/2016 10:55:05"
"580","Exchange Ave & 79th St","Chicago","41.751731","-87.552812","15","5/27/2016 11:32:59"
"24","Fairbanks Ct & Grand Ave","Chicago","41.89186","-87.62062","15","6/22/2013 20:23:31"
"436","Fairfield Ave & Roosevelt Rd","Chicago","41.866624","-87.694521","15","2/10/2015 11:48:31"
"41","Federal St & Polk St","Chicago","41.87207763285","-87.6295437729","19","6/25/2013 01:44:18"
"7","Field Blvd & South Water St","Chicago","41.88634906269","-87.6175165471","19","6/19/2013 10:00:21"
"97","Field Museum","Chicago","41.865312","-87.617867","51","6/30/2013 13:25:23"
"89","Financial Pl & Congress Pkwy","Chicago","41.87500913494","-87.6331058189","31","6/26/2013 19:47:26"
"150","Fort Dearborn Dr & 31st St","Chicago ","41.838556","-87.608218","15","7/19/2013 09:23:53"
"471","Francisco Ave & Foster Ave","Chicago","41.97563272521","-87.7014194389","15","2/10/2015 14:36:33"
"31","Franklin St & Chicago Ave","Chicago","41.896776","-87.635633","23","6/22/2013 20:58:44"
"36","Franklin St & Jackson Blvd","Chicago","41.8777079559","-87.6353211408","31","6/24/2013 23:34:38"
"164","Franklin St & Lake St","Chicago","41.885837","-87.6355","23","7/19/2013 10:03:02"
"287","Franklin St & Monroe St","Chicago","41.880317","-87.635185","27","9/12/2013 14:19:49"
"286","Franklin St & Quincy St","Chicago","41.878724","-87.634793","23","9/12/2013 12:08:05"
"447","Glenwood Ave & Morse Ave","Chicago","42.00797192287","-87.6655023944","15","2/10/2015 12:00:33"
"525","Glenwood Ave & Touhy Ave","Chicago","42.012701","-87.666058","15","5/24/2016 15:47:11"
"198","Green St & Madison St","Chicago","41.881892","-87.648789","19","8/8/2013 11:47:40"
"112","Green St & Randolph St","Chicago ","41.883668","-87.64867","15","7/18/2013 17:00:04"
"319","Greenview Ave & Diversey Pkwy","Chicago","41.932595","-87.665939","15","9/20/2013 15:20:20"
"188","Greenview Ave & Fullerton Ave","Chicago","41.92533","-87.6658","15","7/28/2013 14:35:43"
"520","Greenview Ave & Jarvis Ave","Chicago","42.015962","-87.66857","23","5/24/2016 15:41:28"
"252","Greenwood Ave & 47th St","Chicago","41.809835","-87.599383","15","8/26/2013 14:33:32"
"576","Greenwood Ave & 79th St","Chicago","41.751294","-87.597552","15","5/27/2016 11:29:41"
"202","Halsted St & 18th St","Chicago","41.857499","-87.646277","15","8/12/2013 17:23:13"
"135","Halsted St & 21st St","Chicago","41.85378","-87.64665","11","7/18/2013 22:49:58"
"279","Halsted St & 35th St (*)","Chicago","41.830661","-87.647172","16","9/11/2013 09:17:44"
"262","Halsted St & 37th St","Chicago","41.827059","-87.64572","11","9/3/2013 13:18:23"
"411","Halsted St & 47th Pl","Chicago","41.80813391481","-87.6456165545","11","1/30/2015 17:40:06"
"384","Halsted St & 51st St","Chicago","41.80183164049","-87.645213904","11","1/30/2015 14:37:17"
"386","Halsted St & 56th St","Chicago","41.79292964599","-87.6449900565","11","1/30/2015 14:38:26"
"593","Halsted St & 59th St","Chicago","41.787539","-87.644874","11","5/27/2016 11:41:26"
"388","Halsted St & 63rd St","Chicago","41.77938114228","-87.6446208145","15","1/30/2015 14:41:26"
"391","Halsted St & 69th St","Chicago","41.76906172032","-87.6446135779","11","1/30/2015 14:42:38"
"206","Halsted St & Archer Ave","Chicago","41.847203","-87.646795","15","8/14/2013 08:53:24"
"331","Halsted St & Blackhawk St (*)","Chicago","41.908537","-87.648627","20","9/25/2013 13:55:21"
"225","Halsted St & Dickens Ave","Chicago","41.919936","-87.64883","15","8/19/2013 09:23:46"
